battery_capacity_mah_,battery_indicator,price,Url
35mAh-400mAh,LED,5.24,https://www.alibaba.com/product-detail/2025-Bulk-Stereo-Blue-Tooth-Gaming_1601534593065.html?priceId=5f7d15e17d814e74997e1044f6469f24
180,LED,2.57,https://www.alibaba.com/product-detail/Wholesale-Price-High-Quality-Waterproof-Wireless_12000000094398.html?priceId=5f7d15e17d814e74997e1044f6469f24
30,Digital Display,12.45,https://www.alibaba.com/product-detail/USA-Wireless-Pro-2-3-ANC_1601668406807.html?priceId=5f7d15e17d814e74997e1044f6469f24
200-500mah,LED,8.05,https://www.alibaba.com/product-detail/Active-Noise-Cancellation-ANC-Wireless-Headphone_1600586947420.html?priceId=5f7d15e17d814e74997e1044f6469f24
200-500mah,LED,3.2,https://www.alibaba.com/product-detail/Bluetooth-Wireless-Stereo-Chip-TWS-OWS_11000032861101.html?priceId=5f7d15e17d814e74997e1044f6469f24
500-1000mah,LED,90.0,https://www.alibaba.com/product-detail/2026-Hot-Selling-TWS-Max-Wireless_1601668371827.html?priceId=5f7d15e17d814e74997e1044f6469f24
200-500mah,LED,8.5,https://www.alibaba.com/product-detail/In-Ear-TWS-Earbuds-IPX-4_11000031682681.html?priceId=5f7d15e17d814e74997e1044f6469f24
45mah,LED,19.0,https://www.alibaba.com/product-detail/ALOVA-TWS-Hearing-Aids-Waterproof-Elderly_1601371151149.html?priceId=5f7d15e17d814e74997e1044f6469f24
500,LED,10.0,https://www.alibaba.com/product-detail/TWS-Gaming-Earbuds-In-Ear-LED_11000031258090.html?priceId=5f7d15e17d814e74997e1044f6469f24
180mAh,LED,5.71,https://www.alibaba.com/product-detail/Hot-Selling-Cute-Headphones-Wireless-Mini_1601461486211.html?priceId=5f7d15e17d814e74997e1044f6469f24
200-500mah,Digital Display,10.17,https://www.alibaba.com/product-detail/Factory-Wholesales-SE-two-Mobile-Power_11000030288290.html?priceId=5f7d15e17d814e74997e1044f6469f24
200-500mah,Digital Display,3.69,https://www.alibaba.com/product-detail/TWS-Wireless-V5-5-In-Ear_11000029866112.html?priceId=5f7d15e17d814e74997e1044f6469f24
