battery_capacity_mah_,price,Url,battery_indicator_LED,battery_indicator_Digital Display,battery_indicator_Other,min_quantity,max_quantity
35.0,5.24,https://www.alibaba.com/product-detail/2025-Bulk-Stereo-Blue-Tooth-Gaming_1601534593065.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
180.0,2.57,https://www.alibaba.com/product-detail/Wholesale-Price-High-Quality-Waterproof-Wireless_12000000094398.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
30.0,12.45,https://www.alibaba.com/product-detail/USA-Wireless-Pro-2-3-ANC_1601668406807.html?priceId=5f7d15e17d814e74997e1044f6469f24,0,1,0,,
200.0,8.05,https://www.alibaba.com/product-detail/Active-Noise-Cancellation-ANC-Wireless-Headphone_1600586947420.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,3.2,https://www.alibaba.com/product-detail/Bluetooth-Wireless-Stereo-Chip-TWS-OWS_11000032861101.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
500.0,90.0,https://www.alibaba.com/product-detail/2026-Hot-Selling-TWS-Max-Wireless_1601668371827.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,8.5,https://www.alibaba.com/product-detail/In-Ear-TWS-Earbuds-IPX-4_11000031682681.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
45.0,19.0,https://www.alibaba.com/product-detail/ALOVA-TWS-Hearing-Aids-Waterproof-Elderly_1601371151149.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
500.0,10.0,https://www.alibaba.com/product-detail/TWS-Gaming-Earbuds-In-Ear-LED_11000031258090.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
180.0,5.71,https://www.alibaba.com/product-detail/Hot-Selling-Cute-Headphones-Wireless-Mini_1601461486211.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,10.17,https://www.alibaba.com/product-detail/Factory-Wholesales-SE-two-Mobile-Power_11000030288290.html?priceId=5f7d15e17d814e74997e1044f6469f24,0,1,0,,
200.0,3.69,https://www.alibaba.com/product-detail/TWS-Wireless-V5-5-In-Ear_11000029866112.html?priceId=5f7d15e17d814e74997e1044f6469f24,0,1,0,,
200.0,2.95,https://www.alibaba.com/product-detail/Latest-In-Ear-TWS-Earbuds-JL_11000029345391.html?priceId=5f7d15e17d814e74997e1044f6469f24,0,1,0,,
200.0,4.8,https://www.alibaba.com/product-detail/Source-Factory-Plus50-Wireless-Sport-TWS_1601658170197.html?priceId=5f7d15e17d814e74997e1044f6469f24,0,1,0,,
400.0,28.2,https://www.alibaba.com/product-detail/TWS-In-ear-Gaming-Earbuds-Bluetooth_11000027695093.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
400.0,28.2,https://www.alibaba.com/product-detail/TWS-In-ear-Gaming-Earbuds-Bluetooth_11000027691124.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,9.15,https://www.alibaba.com/product-detail/TWS-In-Ear-Earbuds-For-5_1601651391658.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
400.0,28.2,https://www.alibaba.com/product-detail/TWS-Gaming-Earbuds-BT-5-3_11000027689083.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,10.4,https://www.alibaba.com/product-detail/Wireless-Gaming-5-4-TWS-In_1601613645212.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
400.0,28.2,https://www.alibaba.com/product-detail/TWS-Gaming-Earbuds-Bt-5-3_11000027687114.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
