title,price_usd,product_url,specifications
Havit TW983 ANC Noise Cancelling TWS 6.0 Earbuds LED Display 6 Mic Head Tracking Technology JL Chipset In-Ear Headphones,14.8,https://www.alibaba.com/product-detail/Havit-TW983-ANC-Noise-Cancelling-TWS_1601639435447.html,"{""BT Wireless"": ""6.0"", ""Estimated Battery Life"": ""more than 20 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""brand name"": ""Havit"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""400mAh"", ""Charging Interface Type"": ""Type-C"", ""headphone form factor"": ""In ear"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""No"", ""Product name"": ""wireless earbuds"", ""keyword"": ""wireless earphones"", ""BT Version"": ""V6.0"", ""Earbud Battery"": ""40mAh*2"", ""Charging case battery"": ""400mAh"", ""Play time"": ""9h(60% Vol. with ANC OFF)"", ""Speaker"": ""13mm"", ""Port"": ""TYPE C"", ""Wireless working range"": ""10M (without obstacles )"", ""Impedance"": ""16\u03a9\u00b115%""}"
LX-10 Smart Touch Screen TWS ANC Earbuds Auriculares Inalambricos In-ear Noise Cancellation TWS Headphones,7.1,https://www.alibaba.com/product-detail/LX-10-Smart-Touch-Screen-TWS_1601396876091.html,"{""BT Wireless"": ""v5.4"", ""Estimated Battery Life"": ""more than 20 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC), Environmental Noise Cancellation (ENC)"", ""touch screen"": ""Yes"", ""brand name"": ""NO"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""Case: 300mAh"", ""Battery Charging Time"": ""1-3 hours"", ""battery indicator"": ""LED"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""AB"", ""Codecs"": ""AAC"", ""Control Method"": ""Touch Control"", ""Game atmosphere light"": ""No Light"", ""headphone form factor"": ""In ear"", ""material"": ""ABS"", ""Other features"": ""Touchscreen"", ""private mold"": ""No"", ""Sound Quality"": ""Stereo"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""IPX-5"", ""wireless delay time"": ""less than 30 ms"", ""Connection"": ""Wireless""}"
Miccell Wholesale In-Ear Game Headphones BT 5.4 Low Latency Wireless Earbuds Noise Cancelling Tws Earphones Headphones for Games,6.2,https://www.alibaba.com/product-detail/Miccell-Wholesale-In-Ear-Game-Headphones_1601448580396.html,"{""BT Wireless"": ""Bluetooth v5.4"", ""Estimated Battery Life"": ""5-10 hours"", ""headphone form factor"": ""In ear"", ""touch screen"": ""No"", ""brand name"": ""Miccell"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200-500mah"", ""Battery Charging Time"": ""1-3 hours"", ""battery indicator"": ""LED"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""JL"", ""Codecs"": ""Sbc"", ""Control Method"": ""Touch Control"", ""Game atmosphere light"": ""No Light"", ""material"": ""Plastic"", ""private mold"": ""Yes"", ""Sound Quality"": ""Stereo"", ""Waterproof Standard"": ""IPX-5"", ""wireless delay time"": ""51-60 ms"", ""Product name"": ""TWS Wireless Earbuds"", ""BT Version"": ""5.4  BT"", ""Sensitivity"": ""105\u00b13dB S.P.L at 1KHZ"", ""Battery capacity"": ""300mAh"", ""Charging time"": ""About 1-2 Hour"", ""Play time"": ""2-3 Hours"", ""Working distance"": ""10-15 Meters"", ""Function"": ""Microphone.waterproof"", ""Logo"": ""Customized Logo Welcomed"", ""Warranty"": ""12 month""}"
P2C TWS Airs Gen2 Earbuds Pro Headphones Real-Time Online US Ready Free Tariffs Voice Translation Noise Cancelling  Low Latency,18.0,https://www.alibaba.com/product-detail/P2C-TWS-Airs-Gen2-Earbuds-Pro_1601637728257.html,"{""BT Wireless"": ""Bluetooth v5.3"", ""Estimated Battery Life"": ""more than 20 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""brand name"": ""Netural goods/customized brand"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200-500mah"", ""Battery Charging Time"": ""1-3 hours"", ""battery indicator"": ""Digital Display"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""Other"", ""headphone form factor"": ""In ear"", ""material"": ""Plastic"", ""private mold"": ""Yes"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""IPX-4"", ""wireless delay time"": ""less than 30 ms"", ""Connection"": ""Wireless""}"
High Quality Gaming TWS Wireless Earphones 05,3.99,https://www.alibaba.com/product-detail/High-Quality-Gaming-TWS-Wireless-Earphones_1601427313442.html,"{""Estimated Battery Life"": ""3-5 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""place of origin"": ""China"", ""battery capacity(mah)"": ""200"", ""battery indicator"": ""LED"", ""chipset"": ""earphones"", ""headphone form factor"": ""In ear"", ""material"": ""Other"", ""private mold"": ""Yes"", ""Waterproof Standard"": ""IPX-6"", ""wireless delay time"": ""30 Ms"", ""Style"": ""earphones"", ""Product name"": ""earphones"", ""Material"": ""earphones"", ""Keyword"": ""earphones"", ""Feature"": ""earphones"", ""Type"": ""earphones"", ""BT Version"": ""earphones"", ""Charging time"": ""earphones"", ""Color"": ""earphones"", ""Usage"": ""earphones""}"
USA Warehouse Airbuds Pro3 BT5.1 Auriculars Generation Pro2s with ANC Noise Cancelling Wireless Earphone Pro 3 Wireless Airbuds,20.0,https://www.alibaba.com/product-detail/USA-Warehouse-Airbuds-Pro3-BT5-1_1601678636549.html,"{""BT Wireless"": ""BT 5.1"", ""Estimated Battery Life"": ""3-5 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""brand name"": ""OEM"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200-500mah"", ""Battery Charging Time"": ""3-5 hours"", ""battery indicator"": ""Digital Display"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""Bluetrum"", ""Control Method"": ""Touch Control"", ""headphone form factor"": ""In ear"", ""material"": ""Plastic"", ""private mold"": ""No"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""IPX-4"", ""wireless delay time"": ""30 Ms"", ""Packing"": ""Reel Packing"", ""Payment Ways"": ""Paypal\\TT\\Western Union\\Trade Assurance"", ""Shipping BY"": ""DHL\\UPS\\Fedex\\EMS\\TNT\\Aramex"", ""Condition"": ""100% Brand"", ""MOQ"": ""10 PCS"", ""Lead time"": ""In stock"", ""WARRANTY"": ""90 Days"", ""Package"": ""Standard Package"", ""Connection"": ""Wireless""}"
"High-quality Noise-canceling Earbuds and Earphones: Gen3 Pro2 ANC, Gen4 ANC, Pro3 ANC. Fast Shipping.",6.9,https://www.alibaba.com/product-detail/High-quality-Noise-canceling-Earbuds-And_1601702885744.html?s=p,"{""BT Wireless"": ""BT 5.2"", ""Estimated Battery Life"": ""5-10 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""brand name"": ""acer"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200mAh"", ""Battery Charging Time"": ""3-5 hours"", ""battery indicator"": ""LED"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""JL"", ""Codecs"": ""AAC"", ""Control Method"": ""App Control"", ""Game atmosphere light"": ""No Light"", ""headphone form factor"": ""In ear"", ""material"": ""Plastic"", ""Other features"": ""Flashlight"", ""private mold"": ""No"", ""Sound Quality"": ""Stereo"", ""Speaker Size"": ""8mm"", ""Speaker Type"": ""Iron Speaker"", ""Volume Control"": ""No"", ""Waterproof Standard"": ""IPX-5"", ""wireless delay time"": ""less than 30 ms"", ""Audio driver type"": ""Hybrid"", ""Connection port"": ""Wireless""}"
Smile Face F9 TWS Earbuds V5.1 9D Stereo In-Ear Headphones LED Battery Mini True Wireless Earbuds for Gaming Sports Waterproof,2.5,https://www.alibaba.com/product-detail/Smile-Face-F9-TWS-Earbuds-V5_1600210269623.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,"{""BT Wireless"": ""Other"", ""Estimated Battery Life"": ""15-20 hours"", ""noise cancelling"": ""Environmental Noise Cancellation (ENC)"", ""touch screen"": ""Yes"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200-500mah"", ""Battery Charging Time"": ""1-3 hours"", ""battery indicator"": ""LED"", ""Charging Interface Type"": ""Type-C"", ""chipset"": ""Realtek"", ""Codecs"": ""Apt-X HD"", ""Control Method"": ""Button Control, Touch Control"", ""Game atmosphere light"": ""RGB"", ""headphone form factor"": ""In ear"", ""material"": ""Metal, Plastic"", ""Other features"": ""Flashlight, Touchscreen, Reverse charging"", ""Sound Quality"": ""High Fidelity (Hi-Fi), Bass Boost, Studio Level, Stereo, Surround Sound"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""IPX-3"", ""wireless delay time"": ""less than 30 ms"", ""Product name"": ""F9 TWS earbuds"", ""Color"": ""Black"", ""Working time:"": ""4-5working hours"", ""Is wireless"": ""Yes"", ""Wireless Type"": ""wifi"", ""Control Button"": ""Yes"", ""Use"": ""For Internet Bar"", ""Active Noise-Cancellation"": ""Yes"", ""Charging time"": ""1 Hour"", ""Keyword"": ""Wireless Gaming Headset Headphone""}"
"TWS Earbuds, Lossless Sound, Smart Dual Device Connection, Fast Charging, 20H Battery for All Scenarios",7.0,https://www.alibaba.com/product-detail/TWS-Earbuds-Lossless-Sound-Smart-Dual_1601742503297.html?s=p,"{""BT Wireless"": ""Bluetooth v5.4"", ""Estimated Battery Life"": ""more than 20 hours"", ""noise cancelling"": ""Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""200-500mah"", ""Battery Charging Time"": ""1-3 hours"", ""battery indicator"": ""LED"", ""Charging Interface Type"": ""Type-C"", ""Codecs"": ""AAC"", ""Control Method"": ""Button Control"", ""Game atmosphere light"": ""No Light"", ""headphone form factor"": ""In ear"", ""material"": ""Plastic"", ""private mold"": ""No"", ""Sound Quality"": ""High Fidelity (Hi-Fi)"", ""Speaker Size"": ""10mm(0.39in)"", ""Speaker Type"": ""Composite Diaphragm Speaker"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""IPX-5"", ""wireless delay time"": ""31-40 ms"", ""Audio driver type"": ""Dynamic""}"
Yesido BT5.3 Wireless Headphone Ultra Good Quality Sound In-ear TWS Wireless Earphone TWS35,3.85,https://www.alibaba.com/product-detail/Yesido-BT5-3-Wireless-Headphone-Ultra_1601562612255.html?selectedCarrierCode=SEMI_MANAGED_ECONOMIC@@ECONOMY,"{""BT Wireless"": ""BT5.3"", ""Estimated Battery Life"": ""3-5 hours"", ""noise cancelling"": ""Environmental Noise Cancellation (ENC), Active Noise Cancellation (ANC)"", ""touch screen"": ""No"", ""brand name"": ""Yesido"", ""place of origin"": ""Guangdong, China"", ""battery capacity(mah)"": ""300mAh"", ""Battery Charging Time"": ""1-3 hours"", ""Charging Interface Type"": ""Type-C"", ""Control Method"": ""Touch Control"", ""headphone form factor"": ""In ear"", ""material"": ""PC"", ""Sound Quality"": ""High Fidelity (Hi-Fi)"", ""Volume Control"": ""Yes"", ""Waterproof Standard"": ""/"", ""wireless delay time"": ""less than 30 ms"", ""Name"": ""In-ear TWS Wireless Earphone"", ""Connecting"": ""5.3"", ""BT Frequency"": ""2402MHz-2480MHz"", ""Connecting Range"": ""\u226410"", ""Battery"": ""25mAh*2+250mAh"", ""Microphone"": ""-42db soil 3db single wheat"", ""Standby time(fully)"": ""Around 180days"", ""Charging time"": ""Around 1 hours"", ""Input"": ""DC5V-200mAh"", ""Charging"": ""Type-C""}"
