product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_indicator,charging_interface_type,chipset,codecs,game_atmosphere_light,material,private_mold,product_name,sound_quality,charging_time,control_method,wireless_delay_time,battery_charging_time
1600869383306,500mAh,In ear,No,Havit,Yes,,,,,,,,,,,,,
1601534593065,35mAh-400mAh,In ear,IPX-4,OEM,Yes,LED,Type-C,JL,AAC,No Light,ABS+PC,Yes,TM-068 ENC gaming earphones,,,,,
1601704075843,200-500mah,In ear,IPX-4,,Yes,,,Airoha,,,,Yes,,,,,,
12000000094398,180,In ear,IPX-4,Jedel,Touch control,LED,Type-C,Bluetrum,AAC,Single Color,ABS,Yes,TWS Wireless Earbuds,,,,,
1601668406807,30,In ear,IPX-8,,No,Digital Display,Type-C,JLZK,AAC,No Light,"Plastic, ABS",Yes,Earbuds,,,,,
11000033286683,200-500mah,,IPX-5,,,,Type-C,,,,"ABS, PC",,,,,,,
1600586947420,200-500mah,In ear,IPX-4,LINX & ODM & OEM & Neutral,Yes,LED,Type-C,Other,None,No Light,ABS+PVC,Yes,,High Fidelity (Hi-Fi),,,,
11000032861101,200-500mah,,IPX-4,PINYI/FEIYIDA,Touch Control,LED,Type-C,JieLi / JL,,Single Color,Plastic,Yes,,"Stereo, High Fidelity (Hi-Fi)",,,,
1601668371827,500-1000mah,In ear,IPX-5,OEM,Yes,LED,Type-C,Airoha,AAC,RGB,,No,,High Fidelity (Hi-Fi),,,,
11000031682681,200-500mah,,IPX-4,,,LED,,BK,,,Plastic,Yes,,"High Fidelity (Hi-Fi), Bass Boost",,,,
1601371151149,45mah,In ear,IPX-5,ALOVA,Yes,LED,Type-C,DSP,"AAC, Sbc",No Light,ABS+PC,Yes,HearBoost F12,"Bass Boost, Surround Sound, Stereo",,,,
11000031258090,500,,IPX-4,In Stock LLC,Button Control,LED,Type-C,Other,LHDC,Single Color,ABS,No,Wireless Headphone,Studio Level,,,,
1601461486211,180mAh,,IPX-4,ICARER FAMILY,Touch control,LED,Type-C,Other,AAC,Single Color,ABS,Yes,TWS Wireless Earbuds,Excellent,,,,
11000030288290,200-500mah,In ear,IPX-5,FYX,Touch Control,Digital Display,Type-C,,AAC,,Plastic,Yes,TWS Earbuds,Stereo,,,,
60687337499,120mAh,In ear,IPX-7,OEM,Yes,,Type-C,QCC3084,"LC3, AAC, APT-X, Apt-X HD, Sbc",,ABS,Yes,LE Audio Wireless Auracast Audio Receiver,,1-3H,Button Control,,
11000029866112,200-500mah,In ear,IPX-4,OEM,Yes,Digital Display,Type-C,Bluetrum,Sbc,Single Color,Plastic,No,,High Fidelity (Hi-Fi),,Button Control,,
1600134423305,300mAh,In ear,IPX-3,Shunyuan,Yes,,,Others,,,PVC,,i3K,,2h,,,
11000029345391,200mAh,In ear,IPX-4,APEXSMART,Yes,Digital Display,TYPE-C,JL,AAC,No Light,Plastic,Yes,,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",,Touch Control,,
