battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,battery_charging_time,battery_indicator,charging_interface_type,chipset,codecs,control_method,material,other_features,private_mold,sound_quality,volume_control,wireless_delay_time,product_name,game_atmosphere_light
420mah,In ear,IPX-5,havit,1-3 hours,LED,Type-c,Jl,None,App control,Abs,None,Yes,Hifi,Yes,30 Ms,,
300mAh,In ear,IPX-4,TWS Earbuds,1-3 hours,Digital Display,Type-C,JL,AAC,"App Control, Touch Control, Voice Control",Plastic,Perfect Sound,Yes,"Stereo, Surround Sound, Bass Boost",Yes,51-60 ms,,
<200mah,,IPX-4,,,LED,,JL,AAC,,GRS Recycled Material RABS plastic headphones,,Yes,,Yes,,GRS Recycled Material RPET RABS RPE RTPE Earphone Earbuds,
Rechargeable Battery,,,OEM/ODM,,,,,,,,"Rechargeable, Adjustable, Noise Reduction, digital processing, super clear sound, Eco-Friendly",,,,,Techmi OTC Hearing Aids,
1000-2000mah,In ear,IPX4,,,,,,,,In-ear,,,,,Yes,,
200-500mah,,IPX-4,,3-5 hours,Digital Display,Type-C,Others,LC3,,Plastic,Flashlight,No,High Fidelity (Hi-Fi),,51-60 ms,,
,,Other,OEM,,,Magnetic Materials,,,,Square,,,,,,Protective Case Smartwatch,
Rechargeable Battery,,,OEM/ODM,,,,,,,,"Rechargeable, Adjustable, Noise Reduction, digital processing, super clear sound, Eco-Friendly",,,,,Techmi OTC Hearing Aids,
300mAh,In ear,IPX-5,OEM,1-3 hours,LED,Type-C,Bluetrum,,App Control,"Leather, ABS",,No,High Fidelity (Hi-Fi),Yes,less than 30 ms,,Single Color
200-500mah,Ear-hook,IPX-4,suti,3-5 hours,LED,Type-C,Loda,LHDC,Touch Control,Metal,Reverse charging,No,High Fidelity (Hi-Fi),Yes,31-40 ms,,Single Color
200-500mah,,IPX-4,zayson,1-3 hours,LED,Type-C,Bluetrum,,Touch Control,Plastic,,Yes,Dynamic,,,,
200-500mah,In ear,IPX-4,ODM,1-3 hours,Digital Display,Type-C,Other,,Touch Control,Plastic,"Touch Screen, Translator",Yes,"High Fidelity (Hi-Fi), Stereo, Surround Sound, Bass Boost",Yes,,,
200mAh,In ear,IPX-7,OEM,1-3 hours,Digital Display,Micro USB,jl,APT-X,Touch Control,"Plastic, Metal",Touch Screen,Yes,100dB,Yes,less than 30 ms,,
200-500mah,,IPX-4,Transformers,1-3 hours,LED,Type-C,Other,"AAC, Sbc",Touch Control,Plastic,,Yes,"Bass Boost, High Fidelity (Hi-Fi), Stereo, Studio Level, Surround Sound",,41-50 ms,,No Light
200mAh,over ear,IPX-3,OEM/ODM,1-3 hours,LED,Type-C,Bluetrum,None,Button Control,ABS+PU,Reverse charging,Yes,High Fidelity (Hi-Fi),Yes,above 60 ms,,No Light
200Mah/auriculares inalambricos,In ear,IPX-5,,1-3 hours,LED,Type-C,JL,,"Touch Control, App Control",Plastic,"Translator, Touch Screen",Yes,High Fidelity (Hi-Fi),Yes,31-40 ms,,No Light
180 mah,Ear-hook,IPX-5,ALOVA,1-3 hours,LED,Type-C,BK,Sbc,Button Control,ABS+PC,Less Sound Leakage,Yes,No Noise Cancellation,Yes,51-60 ms,bluetooth headphones wireless,
30mAh/500mAh,,No,Bairui,1-3 hours,Digital Display,Type-C,JL7003D4,,"App Control, Touch Control",ABS,Touch Screen,No,High Fidelity (Hi-Fi),,31-40 ms,,No Light
200,Semi-in-ear,IPX-6,,1-3 hours,LED,Type-C,headset,,,Earphone,,Yes,High Fidelity (Hi-Fi),Yes,30Ms,,
Yes,,,ZH,,,Type-C,,,,Durable ABS,,,YES,,,,
400mah,In ear,IPX-4,MISHUAI,1-3 hours,LED,Type-C,Zhongke8932F,AAC,"App Control, Button Control",Plastic,,Yes,High Fidelity (Hi-Fi),No,51-60 ms,,No Light
300mAh,Semi-in-ear,IPX-4,LINX,1-3 hours,Digital Display,Type-C,Others,,Button Control,ABS+protein earmuffs+Sponge,,Yes,Stereo,Yes,above 60 ms,ANC Wireless Headset Earphone Active Noise Cancelling Headphones,No Light
200mAh,In ear,IPX-5,YUESHIYIN,1-3 hours,LED,Type-C,JL,AAC,Touch,"Plastic, Metal",Noise Cancelling,Yes,High,No,30 Ms,,Single Color
Yes,,,Custom,,,,,,,ABS,IPX4 waterproof,,,,,Bluetooth Shooting protection Earplugs,
,On Ear,IPX-2,OEM/ODM,1-3 hours,LED,Type-C,JL,Apt-X HD,Button Control,"Plastic, Leather",,Yes,"Stereo, Studio Level, Bass Boost, Surround Sound, High Fidelity (Hi-Fi)",Yes,above 60 ms,Headphones Gaming,
200-500mah,,IPX-3,OEM,1-3 hours,LED,Type-C,JL,None,Button Control,Plastic,Reverse charging,Yes,Stereo,,30 Ms,,No Light
None,,None,,5-7 Hours,,Type-C,Solo Buds,,,Solo Buds,,,,No,,,
No,,,EARMOR,,,,,,,headband type,Safety\soft\comfortable\disposable\waterproof\dustproof,,,,,Hearing Protection Earmuff,
30/150mAh,,IPX-4,TONGYI,1-3 hours,Digital Display,Type-C,Bluetrum,None,Touch Control,ABS+ELECTRONICS,,No,Stereo,,less than 30ms,,Single Color
200,Over-ear,IPX-9,None,1-3 hours,LED,Head-mounted,Other,None,Head-mounted,Abs,None,No,80,Yes,30 Ms,,
200-500mah,,IPX-4,,1-3 hours,,Type-C,JL,AAC,Touch Control,Plastic,,Yes,"Stereo, High Fidelity (Hi-Fi), Surround Sound",,31-40 ms,,
300mAh,In ear,IPX-5,Langsdom,1-3 hours,LED,Type-C,JL,AAC,"App Control, Button Control, Touch Control, Voice Control",Plastic,Stereo Sound Effects,Yes,"Bass Boost, Stereo, Surround Sound, Studio Level",Yes,41-50 ms,TWS Earbuds,Single Color
200-500mah,,IPX-5,OEM,1-3 hours,Digital Display,Type-C,JL,AAC,Touch Control,Plastic,,Yes,High Fidelity (Hi-Fi),,31-40 ms,,Single Color
