battery_capacity_mah_,waterproof_standard,volume_control,private_mold,charging_time,wireless_delay_time,battery_charging_time,headphone_form_factor_bone_conduction,headphone_form_factor_clip_on,headphone_form_factor_ear_clip,headphone_form_factor_ear_hook,headphone_form_factor_ear_hook_style,headphone_form_factor_earbuds,headphone_form_factor_earless,headphone_form_factor_earplug,headphone_form_factor_earplug_type,headphone_form_factor_half_into_the_ear,headphone_form_factor_head_mounted,headphone_form_factor_in_ear,headphone_form_factor_in_ear_headphones,headphone_form_factor_in_ear_only,headphone_form_factor_in_ear_semi_in_ear,headphone_form_factor_in_ear_true_wireless_stereo_earbuds,headphone_form_factor_in_ear_type,headphone_form_factor_isulative_plastic_headband,headphone_form_factor_neckband,headphone_form_factor_none,headphone_form_factor_on_ear,headphone_form_factor_open_ear,headphone_form_factor_open_ear_(ows),headphone_form_factor_other,headphone_form_factor_over_ear,headphone_form_factor_semi_in_ear,headphone_form_factor_semi_in_ear_type,headphone_form_factor_true_wireless,headphone_form_factor_true_wireless_earbuds,battery_indicator_LED,battery_indicator_Digital Display,battery_indicator_Other,charging_interface_type_Type-C,charging_interface_type_Magnetic Materials,charging_interface_type_Micro USB,charging_interface_type_Head-mounted,charging_interface_type_Wireless Charging,charging_interface_type_No_Specific,chipset_JL,chipset_Airoha,chipset_Bluetrum,chipset_Qualcomm,chipset_SmartLink,chipset_BK,chipset_ZHONGKE,chipset_solo Buds,chipset_headset,chipset_Loda,chipset_Other,noise_cancellation_anc,noise_cancellation_enc,noise_cancellation_none,codecs_sbc,codecs_aac,codecs_apt,codecs_lhdc,codecs_lc3,codecs_ldac,codecs_other,control_method_touch,control_method_voice,control_method_button,control_method_app,control_method_other,material_abs,material_plastic,material_leather,material_metal,material_pu,material_pc,material_electronics,material_silica gel,material_Other,sound_quality__,sound_quality_100%,sound_quality_110_db,sound_quality_16bit,sound_quality_2000,sound_quality_3d,sound_quality_3d_sound,sound_quality_3dphonic,sound_quality_48khz,sound_quality_5.3,sound_quality_8_bit,sound_quality_80,sound_quality_90db,sound_quality_a2,sound_quality_abs,sound_quality_ac,sound_quality_aptx,sound_quality_bass_3d_sound_effect,sound_quality_bass_boost,sound_quality_bilateral_3d_sound,sound_quality_binaural_3d,sound_quality_clear_calls,sound_quality_correct_channel,sound_quality_deep_bass,sound_quality_excellent,sound_quality_hi_fi,sound_quality_hi_fi_3d,sound_quality_hi_fi_3d_3d_sound_effect,sound_quality_hi_fi_3d_sound,sound_quality_hi_fi_bass_3d,sound_quality_hi_fi_hi_fi,sound_quality_hi_fi_sound_quality,sound_quality_hi_fi_level_3d,sound_quality_high,sound_quality_high_definition,sound_quality_high_quality,sound_quality_high_sound_quality,sound_quality_high_definition,sound_quality_huge_3d,sound_quality_left_and_right.,sound_quality_perfect_sound,sound_quality_please_contact_sales_for_details,sound_quality_studio_level,sound_quality_support,sound_quality_two_channel_3d,sound_quality_tws,sound_quality_wireless_3d,game_atmosphere_light_Single Color,game_atmosphere_light_No Light,game_atmosphere_light_RGB,game_atmosphere_light_No_Specific,brand_name_oem_odm,brand_name_a,brand_name_airoha,brand_name_alova,brand_name_baoli,brand_name_bairui,brand_name_bluebay,brand_name_brightblue,brand_name_celebrat,brand_name_customizable,brand_name_customizable_private_brand,brand_name_customized,brand_name_customized_logo,brand_name_genai,brand_name_glorystar,brand_name_hisonic,brand_name_hoexi,brand_name_hrx,brand_name_hxy,brand_name_havit,brand_name_j&y,brand_name_jh,brand_name_jue_hong,brand_name_kingstar,brand_name_kingstar,brand_name_ldnio,brand_name_langsdom,brand_name_lenovo,brand_name_more_sport,brand_name_miccell,brand_name_n,brand_name_neexxt,brand_name_neutral,brand_name_neutral_package,brand_name_new_bee,brand_name_one_two,brand_name_qym,brand_name_recci,brand_name_remax,brand_name_sibyl,brand_name_skj,brand_name_sun_rise,brand_name_shareez,brand_name_tssd,brand_name_trulyway,brand_name_usams,brand_name_vjby,brand_name_well_win,brand_name_wopow,brand_name_wedtserha,brand_name_xboon,brand_name_xintu,brand_name_xintu,brand_name_yissiy,brand_name_yss,brand_name_yookie,brand_name_zayson,brand_name_aweiyi,brand_name_blueear,brand_name_ibrain,brand_name_kingstar,brand_name_quanyunzs,brand_name_zayson,brand_name_other,min_quantity,max_quantity,price
500.0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,999,7.9
35.0,4,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2999,7.59
200.0,4,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000,3000,7.11
180.0,4,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,250,5.88
30.0,8,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,1950,5.56
200.0,5,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,2000,5.24
200.0,4,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.5
200.0,4,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2999,2.7
500.0,5,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,4999,2.57
200.0,4,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,5000,2.25
