product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_charging_time,battery_indicator,charging_interface_type,chipset,codecs,control_method,game_atmosphere_light,material,private_mold,sound_quality,wireless_delay_time,product_name,charging_time
1600869383306,500mAh,In ear,No,Havit,Yes,,,,,,,,,,,,,
1601534593065,35mAh-400mAh,In ear,IPX-4,OEM,Yes,1-3 hours,LED,Type-C,JL,AAC,Touch Control,No Light,ABS+PC,Yes,Stereo,51-60 ms,TM-068 ENC gaming earphones,
1601704075843,200-500mah,In ear,IPX-4,,Yes,,,,Airoha,,,,,Yes,,,,
12000000094398,180,In ear,IPX-4,Jedel,,1-3 hours,LED,Type-C,Bluetrum,AAC,Touch control,Single Color,ABS,Yes,"Stereo, Bass Boost, High Fidelity (Hi-Fi)",30 Ms,TWS Wireless Earbuds,1~3 Hours
1601668406807,30,In ear,IPX-8,,No,3-5 hours,Digital Display,Type-C,JLZK,AAC,Button Control,No Light,"Plastic, ABS",Yes,High Fidelity (Hi-Fi),less than 30 ms,Earbuds,
11000033286683,200-500mah,,IPX-5,,,3-5 hours,,Type-C,,,,,"ABS, PC",,,,,
1600586947420,200-500mah,In ear,IPX-4,LINX & ODM & OEM & Neutral,Yes,1-3 hours,LED,Type-C,Other,None,Button Control,No Light,ABS+PVC,Yes,High Fidelity (Hi-Fi),above 60 ms,,
11000032861101,200-500mah,,IPX-4,PINYI/FEIYIDA,,1-3 hours,LED,Type-C,JieLi / JL,,Touch Control,Single Color,Plastic,Yes,"Stereo, High Fidelity (Hi-Fi)",,,
1601668371827,500-1000mah,In ear,IPX-5,OEM,Yes,1-3 hours,LED,Type-C,Airoha,AAC,Touch Control,RGB,,No,High Fidelity (Hi-Fi),less than 30 ms,,
11000031682681,200-500mah,,IPX-4,,,,LED,,BK,,,,Plastic,Yes,"High Fidelity (Hi-Fi), Bass Boost",,,
1601371151149,45mah,In ear,IPX-5,ALOVA,Yes,1-3 hours,LED,Type-C,DSP,"AAC, Sbc",Button Control,No Light,ABS+PC,Yes,"Bass Boost, Surround Sound, Stereo",above 60 ms,,1 hours
11000031258090,500,,IPX-4,In Stock LLC,,1-3 hours,LED,Type-C,Other,LHDC,Button Control,Single Color,ABS,No,Studio Level,less than 30ms,Wireless Headphone,
1601461486211,180mAh,,IPX-4,ICARER FAMILY,,1-3 hours,LED,Type-C,Other,AAC,Touch control,Single Color,ABS,Yes,Excellent,30 Ms,TWS Wireless Earbuds,
11000030288290,200-500mah,In ear,IPX-5,FYX,,1-3 hours,Digital Display,Type-C,,AAC,Touch Control,,Plastic,Yes,Stereo,above 60 ms,TWS Earbuds,
60687337499,120mAh,In ear,IPX-7,OEM,Yes,1-3 hours,,Type-C,QCC3084,"LC3, AAC, APT-X, Apt-X HD, Sbc",Button Control,,ABS,Yes,,,LE Audio Wireless Auracast Audio Receiver,1-3H
11000029866112,200-500mah,In ear,IPX-4,OEM,Yes,1-3 hours,Digital Display,Type-C,Bluetrum,Sbc,Button Control,Single Color,Plastic,No,High Fidelity (Hi-Fi),above 60 ms,,
1600134423305,300mAh,In ear,IPX-3,Shunyuan,Yes,,,,Others,,,,PVC,,,,i3K,2h
11000029345391,200mAh,In ear,IPX-4,APEXSMART,Yes,1-3 hours,Digital Display,TYPE-C,JL,AAC,Touch Control,No Light,Plastic,Yes,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",41-50 ms,,
1601658170197,<200mah,,IPX-5,Hishell/OEM/ODM,,1-3 hours,Digital Display,Type-C,,None,Touch Control,No Light,ABS,No,High Fidelity (Hi-Fi),31-40 ms,Wireless Earphone Plus 50,2 Hours
11000027695093,400mAh+40mAh*2,In ear,IPX-7,T3 PRO,Yes,3-5 hours,LED,Type-C,JZ,,Touch Control,Single Color,Plastic,Yes,High Fidelity (Hi-Fi),30 Ms,,
1601618954802,200-500mah,In ear,IPX-5,,Yes,,,Type-C,,,,,,,High Fidelity (Hi-Fi),,,
11000027691124,400mAh+40mAh*2,In ear,IPX-7,TAT1158,Yes,3-5 hours,LED,Type-C,JZ,,Touch Control,Single Color,Plastic,Yes,High Fidelity (Hi-Fi),30 Ms,,
1601651391658,200-500mah,,IPX-5,Hishell/OEM/ODM,,1-3 hours,LED,Type-C,,None,Touch Control,No Light,ABS,No,High Fidelity (Hi-Fi),31-40 ms,Wireless Earphone,2 Hours
11000027689083,"400mAh,+40mAh*2",In ear,IPX-7,Boult W10,Yes,3-5 hours,LED,Type-C,JZ,,Touch Control,Single Color,Plastic,Yes,High Fidelity (Hi-Fi),30 Ms,,
1601613645212,200mah,In ear,IPX-5,,Yes,1-3 hours,LED,Type-C,Other,None,Touch Control,RGB,Plastic,No,High fidelity (hi-fi),31-40 ms,,
11000027687114,"400mAh,+40mAh*2",In ear,IPX-7,BUDS 135,Yes,3-5 hours,LED,Type-C,JZ,,Touch Control,Single Color,Plastic,Yes,High Fidelity (Hi-Fi),30 Ms,,
1601596266484,200-500mah,,IPX-5,Hishell/OEM/ODM,,1-3 hours,Digital Display,Type-C,,,Touch Control,No Light,ABS,No,High Fidelity (Hi-Fi),31-40 ms,Wireless sleep Earphone,2 Hours
11000027682732,200-500mah,,IPX-4,OEM,,1-3 hours,Digital Display,Type-C,JL,,Touch Control,,Plastic,Yes,"Surround Sound, Stereo, Bass Boost",31-40 ms,,1-2 Hours
1601517200736,320mah,In ear,IPX-4,,Yes,1-3 hours,Digital Display,Type-C,Jl,LHDC,Touch Control,Single Color,Abs,Yes,Hi-fi,51-60 ms,,
11000027602510,200-500mah,In ear,IPX-4,,Yes,1-3 hours,Digital Display,Type-C,,"AAC, LDAC, Sbc",Touch Control,,Plastic,,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",31-40 ms,,
1601674953314,200-500mah,In ear,IPX-6,OEM,Yes,1-3 hours,LED,Wireless Charging,,AAC,Touch Control,Single Color,Plastic,No,High Fidelity (Hi-Fi),less than 30 ms,,
11000027308534,300mah,,IPX-4,OEM,,1-3 hours,LED,Type-C,JL,,Touch Control,,Plastic,Yes,"Bass Boost, Stereo, Surround Sound",less than 30ms,,1-2 Hours
1601278877041,2AAA,In ear,IPX-5,EARMOR,,,LED,,EARMOR,,,,ABS,Yes,,less than 30 ms,Sports Shooting Bluetooth Earbuds,
11000027275821,200-500mah,,IPX-4,OEM,,1-3 hours,LED,Type-C,JL,,Touch Control,,Plastic,Yes,"Bass Boost, Stereo, Surround Sound",less than 30ms,,1-2 Hours
1601727180770,200-500mah,In ear,IPX-6,zuiqiangying,Yes,3-5 hours,Digital Display,Type-C,Airoha,AAC,Button Control,No Light,Plastic,Yes,Stereo,less than 30 ms,,
11000025732594,200-500mah,In ear,IPX-5,Oforui,No,1-3 hours,LED,Type-C,Blurtrum,LDAC,Touch Control,Single Color,Plastic,Yes,High Fidelity (Hi-Fi),30 Ms,,
1601725787666,350+30*2mAh,In ear,/,yesido,,1-3 hours,,Type-C,,,,No Light,ABS,,,less than 30 ms,,
11000024491003,5000ha,In ear,IPX-5,Realme,Yes,1-3 hours,Digital Display,Type-C,Airoha,Apt-X HD,Touch Control,Single Color,abs,No,Stereo,31-40 ms,TWS Wireless Earbuds for iphone android,
1601692341935,150mAh,In ear,IPX-4,,,1-3 hours,LED,,AB5759,,"Touch Control, Voice Control",,,,,,,
11000023062663,5000ha,In ear,IPX-5,Realme,Yes,1-3 hours,Digital Display,Type-C,Airoha,APT-X,Touch Control,Single Color,abs,No,High Fidelity (Hi-Fi),31-40 ms,Buds 6 Active (Global Version),About 1.5 Hours (earbuds) / 2 Hours (case)
1601249386456,530mAh,,IPX-5,Custom/Kimmar,,,LED,,Jieli,,,,ABS,Yes,,51-60 ms,Ultra Long Life True Wireless HIFI In Ear Earbuds,1-2 Hours
11000020465226,85MAH,In ear,IPX-4,Geekfly,,,LED,,Qualcomm,,,,3D plastic resin,Yes,,less than 30 ms,,
1601257044292,40/350mah,In ear,IPX-5,,,,LED,,JL,,,,ABS,Yes,,41-50 ms,T13 TWS Earphone,
11000020135036,Earbuds battery: 40mAh*2pcs,,IPX-5,Customized,,,,,JL,,,,ABS,Yes,,41-50 ms,,
